Level 1,Level 2,Level 3
Manufacturing,3D Scanning,Conduct scan-based part inspection
Manufacturing,3D Scanning,Perform laser & structured light scanning
Manufacturing,3D Scanning,Process point cloud data
Manufacturing,Advanced Applications,Apply sheet lamination techniques (LOM)
Manufacturing,Advanced Applications,Create parts using liquid molding and casting
Manufacturing,Advanced Applications,Operate large-scale 3D printing systems
Software,Full-stack Developement,Frontend development
Software,Full-stack Developement,Backend development
Software,Data Engineer,Data modeling
Software,Data Engineer,Machine learning
